cellular_organisms	Bacteria
Bacteria	Fusobacteria
Bacteria	unclassified_Bacteria
Bacteria	Proteobacteria
Bacteria	FCB_group
Bacteria	PVC_group
Bacteria	Terrabacteria_group
Bacteria	Synergistetes
Fusobacteria	Fusobacteriia
unclassified_Bacteria	Bacteria_candidate_phyla
Proteobacteria	delta/epsilon_subdivisions
Proteobacteria	Betaproteobacteria
Proteobacteria	Gammaproteobacteria
FCB_group	Bacteroidetes/Chlorobi_group
PVC_group	Verrucomicrobia
Terrabacteria_group	Firmicutes
Terrabacteria_group	Actinobacteria_ccnu
Terrabacteria_group	Deinococcus-Thermus
Synergistetes	Synergistia
Fusobacteriia	Fusobacteriales
Bacteria_candidate_phyla	Candidatus_Saccharibacteria
delta/epsilon_subdivisions	Deltaproteobacteria
delta/epsilon_subdivisions	Epsilonproteobacteria
Betaproteobacteria	Burkholderiales
Betaproteobacteria	Neisseriales
Gammaproteobacteria	Pasteurellales
Gammaproteobacteria	Enterobacterales
Bacteroidetes/Chlorobi_group	Bacteroidetes
Verrucomicrobia	Verrucomicrobiae
Firmicutes	Clostridia
Firmicutes	Erysipelotrichia
Firmicutes	Negativicutes
Firmicutes	Bacilli
Actinobacteria_ccnu	Coriobacteriia
Actinobacteria_ccnu	Actinobacteria
Deinococcus-Thermus	Deinococci
Synergistia	Synergistales
Fusobacteriales	Fusobacteriaceae
Fusobacteriales	Leptotrichiaceae
Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_noname_class
Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_noname_class_ccnu
Deltaproteobacteria	Desulfovibrionales
Epsilonproteobacteria	Campylobacterales
Burkholderiales	Burkholderiaceae
Burkholderiales	Sutterellaceae
Burkholderiales	Comamonadaceae
Burkholderiales	Oxalobacteraceae
Burkholderiales	unclassified_Burkholderiales
Neisseriales	Neisseriaceae
Pasteurellales	Pasteurellaceae
Enterobacterales	Enterobacteriaceae
Enterobacterales	Erwiniaceae
Bacteroidetes	Bacteroidia
Bacteroidetes	Flavobacteriia
Verrucomicrobiae	Verrucomicrobiales
Clostridia	Clostridiales
Erysipelotrichia	Erysipelotrichales
Negativicutes	Selenomonadales
Negativicutes	Acidaminococcales
Negativicutes	Veillonellales
Bacilli	Bacillales
Bacilli	Lactobacillales
Coriobacteriia	Coriobacteriales
Coriobacteriia	Eggerthellales
Actinobacteria	Micrococcales
Actinobacteria	Bifidobacteriales
Actinobacteria	Actinomycetales
Deinococci	Deinococcales
Synergistales	Synergistaceae
Fusobacteriaceae	Fusobacterium
Leptotrichiaceae	Leptotrichia
Leptotrichiaceae	unclassified_Leptotrichiaceae
Desulfovibrionales	Desulfovibrionaceae
Campylobacterales	Campylobacteraceae
Burkholderiaceae	Lautropia
Sutterellaceae	unclassified_Sutterellaceae
Sutterellaceae	Parasutterella
Sutterellaceae	Sutterella
Comamonadaceae	Comamonas
Oxalobacteraceae	Oxalobacter
unclassified_Burkholderiales	unclassified_Burkholderiales__miscellaneous
Neisseriaceae	Neisseria
Neisseriaceae	Eikenella
Pasteurellaceae	Haemophilus
Pasteurellaceae	Actinobacillus
Pasteurellaceae	Aggregatibacter
Enterobacteriaceae	Escherichia
Enterobacteriaceae	Klebsiella
Enterobacteriaceae	Enterobacter
Enterobacteriaceae	Citrobacter
Enterobacteriaceae	Raoultella
Erwiniaceae	Pantoea
Bacteroidia	Bacteroidales
Flavobacteriia	Flavobacteriales
Verrucomicrobiales	Akkermansiaceae
Clostridiales	Lachnospiraceae
Clostridiales	Ruminococcaceae
Clostridiales	Clostridiaceae
Clostridiales	Eubacteriaceae
Clostridiales	unclassified_Clostridiales
Clostridiales	Peptostreptococcaceae
Clostridiales	Clostridiales_incertae_sedis
Clostridiales	Oscillospiraceae
Erysipelotrichales	Erysipelotrichaceae
Selenomonadales	Selenomonadaceae
Acidaminococcales	Acidaminococcaceae
Veillonellales	Veillonellaceae
Bacillales	Staphylococcaceae
Bacillales	Bacillales_incertae_sedis
Lactobacillales	Enterococcaceae
Lactobacillales	Leuconostocaceae
Lactobacillales	Streptococcaceae
Lactobacillales	Lactobacillaceae
Lactobacillales	Carnobacteriaceae
Coriobacteriales	Atopobiaceae
Coriobacteriales	Coriobacteriaceae
Eggerthellales	Eggerthellaceae
Micrococcales	Micrococcaceae
Bifidobacteriales	Bifidobacteriaceae
Actinomycetales	Actinomycetaceae
Deinococcales	Deinococcaceae
Synergistaceae	Pyramidobacter
Candidatus_Saccharibacteria_noname_class	Candidatus_Saccharibacteria_noname_order
Candidatus_Saccharibacteria_noname_class_ccnu	Candidatus_Saccharibacteria_noname_order_ccnu
Fusobacterium	Fusobacterium_nucleatum
Fusobacterium	Fusobacterium_ulcerans
Fusobacterium	Fusobacterium_varium
Fusobacterium	Fusobacterium_periodonticum
Fusobacterium	Fusobacterium_mortiferum
Leptotrichia	Leptotrichia_wadei
Leptotrichia	unclassified_Leptotrichia_species
Desulfovibrionaceae	Bilophila
Desulfovibrionaceae	Desulfovibrio
Campylobacteraceae	Campylobacter
Lautropia	Lautropia_mirabilis
Parasutterella	Parasutterella_excrementihominis
Sutterella	Sutterella_wadsworthensis
Comamonas	unclassified_Comamonas_species
Oxalobacter	Oxalobacter_formigenes
unclassified_Burkholderiales__miscellaneous	Burkholderiales_bacterium_1_1_47
Neisseria	Neisseria_flavescens
Neisseria	Neisseria_sicca
Neisseria	unclassified_Neisseria_species
Eikenella	Eikenella_corrodens
Haemophilus	Haemophilus_haemolyticus
Haemophilus	Haemophilus_parainfluenzae
Haemophilus	Haemophilus_paraphrohaemolyticus
Haemophilus	Haemophilus_influenzae
Haemophilus	Haemophilus_parahaemolyticus
Haemophilus	Haemophilus_sputorum
Actinobacillus	unclassified_Actinobacillus_species
Aggregatibacter	Aggregatibacter_segnis
Aggregatibacter	Aggregatibacter_aphrophilus
Aggregatibacter	unclassified_Aggregatibacter_species
Escherichia	Escherichia_coli
Escherichia	unclassified_Escherichia_species
Klebsiella	Klebsiella_oxytoca
Klebsiella	Klebsiella_pneumoniae
Klebsiella	unclassified_Klebsiella_species
Enterobacter	Enterobacter_cloacae_complex
Enterobacter	Enterobacter_aerogenes_species
Citrobacter	Citrobacter_freundii_complex
Citrobacter	unclassified_Citrobacter_species
Raoultella	Raoultella_ornithinolytica
Pantoea	unclassified_Pantoea_species
Bacteroidales	Tannerellaceae
Bacteroidales	Bacteroidaceae
Bacteroidales	Prevotellaceae
Bacteroidales	Rikenellaceae
Bacteroidales	Odoribacteraceae
Bacteroidales	Barnesiellaceae
Bacteroidales	Bacteroidales_noname_family
Flavobacteriales	Flavobacteriaceae
Akkermansiaceae	Akkermansia
Lachnospiraceae	Butyrivibrio
Lachnospiraceae	unclassified_Lachnospiraceae
Lachnospiraceae	Roseburia
Lachnospiraceae	Lachnoclostridium
Lachnospiraceae	Dorea
Lachnospiraceae	Stomatobaculum
Lachnospiraceae	Coprococcus
Lachnospiraceae	Anaerostipes
Lachnospiraceae	Blautia
Ruminococcaceae	Subdoligranulum
Ruminococcaceae	Pseudoflavonifractor
Ruminococcaceae	Flavonifractor
Ruminococcaceae	Faecalibacterium
Ruminococcaceae	Ruminococcus
Ruminococcaceae	unclassified_Ruminococcaceae
Ruminococcaceae	Anaerotruncus
Clostridiaceae	Clostridium
Clostridiaceae	Butyricicoccus
Clostridiaceae	unclassified_Clostridiaceae
Eubacteriaceae	Eubacterium
unclassified_Clostridiales	unclassified_Clostridiales__miscellaneous
Peptostreptococcaceae	Peptostreptococcus
Peptostreptococcaceae	Peptostreptococcaceae_noname_genus
Peptostreptococcaceae	Peptostreptococcaceae_noname_genus_ccnu
Peptostreptococcaceae	Peptostreptococcaceae_noname_genus_ccnu2
Clostridiales_incertae_sedis	Clostridiales_Family_XIII_Incertae_Sedis
Oscillospiraceae	Oscillibacter
Erysipelotrichaceae	Erysipelatoclostridium
Erysipelotrichaceae	Coprobacillus
Erysipelotrichaceae	Solobacterium
Erysipelotrichaceae	Turicibacter
Erysipelotrichaceae	unclassified_Erysipelotrichaceae
Erysipelotrichaceae	Holdemania
Erysipelotrichaceae	Erysipelotrichaceae_noname_genus
Erysipelotrichaceae	Erysipelotrichaceae_noname_genus_ccnu
Erysipelotrichaceae	Erysipelotrichaceae_noname_genus_ccnu2
Selenomonadaceae	Selenomonas
Selenomonadaceae	Mitsuokella
Selenomonadaceae	Megamonas
Acidaminococcaceae	Acidaminococcus
Acidaminococcaceae	Phascolarctobacterium
Acidaminococcaceae	unclassified_Acidaminococcaceae
Veillonellaceae	Megasphaera
Veillonellaceae	Anaeroglobus
Veillonellaceae	Veillonella
Veillonellaceae	Dialister
Staphylococcaceae	Staphylococcus
Bacillales_incertae_sedis	Bacillales_Family_XI_Incertae_Sedis
Enterococcaceae	Enterococcus
Leuconostocaceae	Weissella
Streptococcaceae	Streptococcus
Lactobacillaceae	Lactobacillus
Carnobacteriaceae	Granulicatella
Atopobiaceae	Olsenella
Atopobiaceae	Atopobium
Coriobacteriaceae	Collinsella
Eggerthellaceae	Eggerthella
Eggerthellaceae	Adlercreutzia
Eggerthellaceae	Gordonibacter
Micrococcaceae	Rothia
Bifidobacteriaceae	Bifidobacterium
Actinomycetaceae	Actinomyces
Deinococcaceae	Deinococcus
Pyramidobacter	Pyramidobacter_piscolens
Candidatus_Saccharibacteria_noname_order	Candidatus_Saccharibacteria_noname_family
Candidatus_Saccharibacteria_noname_order_ccnu	Candidatus_Saccharibacteria_noname_family_ccnu
Bilophila	Bilophila_wadsworthia
Bilophila	unclassified_Bilophila_species
Desulfovibrio	Desulfovibrio_piger
Desulfovibrio	Desulfovibrio_desulfuricans
Campylobacter	Campylobacter_showae
Campylobacter	Campylobacter_gracilis
Campylobacter	Campylobacter_concisus
Enterobacter_cloacae_complex	Enterobacter_cloacae
Citrobacter_freundii_complex	Citrobacter_freundii
Tannerellaceae	Parabacteroides
Bacteroidaceae	Bacteroides
Prevotellaceae	Paraprevotella
Prevotellaceae	Alloprevotella
Prevotellaceae	Prevotella
Rikenellaceae	Alistipes
Odoribacteraceae	Odoribacter
Odoribacteraceae	Butyricimonas
Barnesiellaceae	Barnesiella
Barnesiellaceae	Coprobacter
Flavobacteriaceae	Cellulophaga
Akkermansia	Akkermansia_muciniphila
Butyrivibrio	Butyrivibrio_crossotus
Butyrivibrio	unclassified_Butyrivibrio_species
unclassified_Lachnospiraceae	Eubacterium_rectale
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_6_1_63FAA
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_8_1_57FAA
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_5_1_57FAA
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_5_1_63FAA
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_9_1_43BFAA
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_3_1_57FAA_CT1
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_3_1_46FAA
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_7_1_58FAA
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_2_1_58FAA
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_1_4_56FAA
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_1_1_57FAA
Roseburia	Roseburia_inulinivorans
Roseburia	Roseburia_hominis
Roseburia	Roseburia_intestinalis
Roseburia	unclassified_Roseburia_species
Lachnoclostridium	Clostridium_citroniae
Lachnoclostridium	Clostridium_asparagiforme
Lachnoclostridium	Clostridium_bolteae
Lachnoclostridium	Clostridium_clostridioforme
Lachnoclostridium	Clostridium_symbiosum
Dorea	Dorea_longicatena
Dorea	Dorea_formicigenerans
Dorea	unclassified_Dorea_species
Stomatobaculum	Stomatobaculum_longum
Coprococcus	Coprococcus_catus
Coprococcus	Coprococcus_eutactus
Coprococcus	Coprococcus_comes
Coprococcus	Coprococcus_sp_ART55_1_species
Anaerostipes	Anaerostipes_hadrus
Anaerostipes	unclassified_Anaerostipes_species
Blautia	Blautia_producta
Blautia	Ruminococcus_torques
Blautia	Ruminococcus_gnavus
Blautia	Ruminococcus_obeum_species
Subdoligranulum	Subdoligranulum_variabile
Subdoligranulum	unclassified_Subdoligranulum_species
Pseudoflavonifractor	Pseudoflavonifractor_capillosus
Flavonifractor	Flavonifractor_plautii
Faecalibacterium	Faecalibacterium_prausnitzii
Ruminococcus	Ruminococcus_sp_5_1_39BFAA
Ruminococcus	Ruminococcus_albus
Ruminococcus	Ruminococcus_lactaris
Ruminococcus	Ruminococcus_flavefaciens
Ruminococcus	Ruminococcus_callidus
Ruminococcus	Ruminococcus_bromii
unclassified_Ruminococcaceae	Clostridium_leptum
unclassified_Ruminococcaceae	unclassified_Ruminococcaceae__miscellaneous
unclassified_Ruminococcaceae	Eubacterium_siraeum
Anaerotruncus	Anaerotruncus_colihominis
Anaerotruncus	unclassified_Anaerotruncus_species
Clostridium	Clostridium_celatum
Clostridium	Clostridium_perfringens
Clostridium	Clostridium_hathewayi_species
Clostridium	Clostridium_nexile_species
Clostridium	Clostridium_sp_L2_50_species
Clostridium	Clostridium_sp_ATCC_BAA_442_species
Butyricicoccus	Butyricicoccus_pullicaecorum
